parameter_id,unit,count,measured_value,notes
C1,cycles,5,1.5461,slope=30.9211 intercept=3.97 R²=1.0000
C2,TMAC/s,4,223.0725,
C3,条,11,17.0000,
C4,cycles,15,1.2222,L0A=1.03 L0B=1.09 L0C=1.55
C5,-,6,0.0000,
M1,GB/s,6,4369.0667,
M2,GB/s,6,3960.9670,
M3,GB/s,5,819.6769,
M4,GB/s,5,774.1935,
M5,GB/s,5,1093.2561,
M6,cycles,4,6.5284,
M7,KB,12,192.0000,
M8,cycles,9,5.7009,intercept=5.70 R²=0.8282
S1,cycles,6,0.0909,slope=1.8179 intercept=7.81 R²=1.0000
S2,ops/cycle,5,55.5835,slope=5.7571 intercept=16.38 R²=1.0000
S3,cycles,4,6.5064,
V1,cycles,5,0.8181,slope=16.3626 intercept=10.55 R²=1.0000
V2,cycles,5,0.8484,slope=16.9680 intercept=11.50 R²=1.0000
V3,ops/cycle,5,1.3751,slope=58.1761 intercept=23.22 R²=1.0000
V4,条,8,1.0000,
V5,cycles,8,0.8182,slope=16.3633 intercept=10.28 R²=1.0000
