parameter_id,run_id,benchmark_dir,device_model,device_id,aicore_id,cann_version,driver_version,variant,problem_size,loop_count,warmup_count,repeat_index,elapsed_cycles,elapsed_us,bytes_moved,operations,measured_value,unit,notes
C1,C1_0,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C1_cl50,"chain=50,m=16,n=16,k=16,streams=1,veclen=64",50,5,0,1550,0.9393939393939394,50,50,1550,cycles,C1_cl50
C1,C1_1,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C1_cl100,"chain=100,m=16,n=16,k=16,streams=1,veclen=64",100,5,1,3096,1.8763636363636365,100,100,3096,cycles,C1_cl100
C1,C1_2,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C1_cl200,"chain=200,m=16,n=16,k=16,streams=1,veclen=64",200,5,2,6186,3.749090909090909,200,200,6186,cycles,C1_cl200
C1,C1_3,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C1_cl500,"chain=500,m=16,n=16,k=16,streams=1,veclen=64",500,5,3,15467,9.373939393939393,500,500,15467,cycles,C1_cl500
C1,C1_4,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C1_cl1000,"chain=1000,m=16,n=16,k=16,streams=1,veclen=64",1000,5,4,30923,18.741212121212122,1000,1000,30923,cycles,C1_cl1000
C2,C2_0,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C2_16x16x16,"chain=2000,m=16,n=16,k=16,streams=1,veclen=64",2000,5,0,3649,2.2115151515151514,2000,2000,3649,cycles,C2_16x16x16
C2,C2_1,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C2_32x32x32,"chain=1000,m=32,n=32,k=32,streams=1,veclen=64",1000,5,1,4848,2.938181818181818,1000,1000,4848,cycles,C2_32x32x32
C2,C2_2,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C2_64x64x64,"chain=500,m=64,n=64,k=64,streams=1,veclen=64",500,5,2,19392,11.752727272727272,500,500,19392,cycles,C2_64x64x64
C2,C2_3,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C2_128x128x16,"chain=500,m=128,n=128,k=16,streams=1,veclen=64",500,5,3,19392,11.752727272727272,500,500,19392,cycles,C2_128x128x16
C3,C3_0,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl1,"chain=1,m=16,n=16,k=16,streams=1,veclen=64",1,5,0,8,0.0048484848484848485,1,1,8,cycles,C3_cl1
C3,C3_1,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl2,"chain=2,m=16,n=16,k=16,streams=1,veclen=64",2,5,1,9,0.005454545454545455,2,2,9,cycles,C3_cl2
C3,C3_2,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl4,"chain=4,m=16,n=16,k=16,streams=1,veclen=64",4,5,2,13,0.00787878787878788,4,4,13,cycles,C3_cl4
C3,C3_3,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl8,"chain=8,m=16,n=16,k=16,streams=1,veclen=64",8,5,3,21,0.012727272727272728,8,8,21,cycles,C3_cl8
C3,C3_4,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl16,"chain=16,m=16,n=16,k=16,streams=1,veclen=64",16,5,4,41,0.02484848484848485,16,16,41,cycles,C3_cl16
C3,C3_5,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl32,"chain=32,m=16,n=16,k=16,streams=1,veclen=64",32,5,5,70,0.04242424242424243,32,32,70,cycles,C3_cl32
C3,C3_6,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl64,"chain=64,m=16,n=16,k=16,streams=1,veclen=64",64,5,6,142,0.08606060606060606,64,64,142,cycles,C3_cl64
C3,C3_7,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl128,"chain=128,m=16,n=16,k=16,streams=1,veclen=64",128,5,7,242,0.14666666666666667,128,128,242,cycles,C3_cl128
C3,C3_8,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl256,"chain=256,m=16,n=16,k=16,streams=1,veclen=64",256,5,8,476,0.2884848484848485,256,256,476,cycles,C3_cl256
C3,C3_9,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl500,"chain=500,m=16,n=16,k=16,streams=1,veclen=64",500,5,9,921,0.5581818181818182,500,500,921,cycles,C3_cl500
C3,C3_10,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C3_cl1000,"chain=1000,m=16,n=16,k=16,streams=1,veclen=64",1000,5,10,1847,1.1193939393939394,1000,1000,1847,cycles,C3_cl1000
C4,C4_0,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b0_cl50,"chain=50,m=0,n=0,k=0,streams=1,veclen=64",50,5,0,1039,0.6296969696969696,50,50,1039,cycles,C4_b0_cl50
C4,C4_1,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b0_cl100,"chain=100,m=0,n=0,k=0,streams=1,veclen=64",100,5,1,2070,1.2545454545454546,100,100,2070,cycles,C4_b0_cl100
C4,C4_2,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b0_cl200,"chain=200,m=0,n=0,k=0,streams=1,veclen=64",200,5,2,4130,2.503030303030303,200,200,4130,cycles,C4_b0_cl200
C4,C4_3,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b0_cl500,"chain=500,m=0,n=0,k=0,streams=1,veclen=64",500,5,3,10311,6.249090909090909,500,500,10311,cycles,C4_b0_cl500
C4,C4_4,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b0_cl1000,"chain=1000,m=0,n=0,k=0,streams=1,veclen=64",1000,5,4,20615,12.493939393939394,1000,1000,20615,cycles,C4_b0_cl1000
C4,C4_5,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b1_cl50,"chain=50,m=0,n=0,k=0,streams=1,veclen=64",50,5,5,1101,0.6672727272727272,50,50,1101,cycles,C4_b1_cl50
C4,C4_6,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b1_cl100,"chain=100,m=0,n=0,k=0,streams=1,veclen=64",100,5,6,2192,1.3284848484848484,100,100,2192,cycles,C4_b1_cl100
C4,C4_7,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b1_cl200,"chain=200,m=0,n=0,k=0,streams=1,veclen=64",200,5,7,4371,2.649090909090909,200,200,4371,cycles,C4_b1_cl200
C4,C4_8,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b1_cl500,"chain=500,m=0,n=0,k=0,streams=1,veclen=64",500,5,8,10916,6.615757575757576,500,500,10916,cycles,C4_b1_cl500
C4,C4_9,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b1_cl1000,"chain=1000,m=0,n=0,k=0,streams=1,veclen=64",1000,5,9,21824,13.226666666666667,1000,1000,21824,cycles,C4_b1_cl1000
C4,C4_10,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b2_cl50,"chain=50,m=0,n=0,k=0,streams=1,veclen=64",50,5,10,1549,0.9387878787878788,50,50,1549,cycles,C4_b2_cl50
C4,C4_11,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b2_cl100,"chain=100,m=0,n=0,k=0,streams=1,veclen=64",100,5,11,3103,1.8806060606060606,100,100,3103,cycles,C4_b2_cl100
C4,C4_12,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b2_cl200,"chain=200,m=0,n=0,k=0,streams=1,veclen=64",200,5,12,6189,3.750909090909091,200,200,6189,cycles,C4_b2_cl200
C4,C4_13,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b2_cl500,"chain=500,m=0,n=0,k=0,streams=1,veclen=64",500,5,13,15464,9.372121212121213,500,500,15464,cycles,C4_b2_cl500
C4,C4_14,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C4_b2_cl1000,"chain=1000,m=0,n=0,k=0,streams=1,veclen=64",1000,5,14,30923,18.741212121212122,1000,1000,30923,cycles,C4_b2_cl1000
C5,C5_0,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C5_16x16x16,"chain=100,m=16,n=16,k=16,streams=1,veclen=64",100,5,0,192,0.11636363636363636,100,100,192,cycles,C5_16x16x16
C5,C5_1,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C5_32x32x32,"chain=100,m=32,n=32,k=32,streams=1,veclen=64",100,5,1,485,0.29393939393939394,100,100,485,cycles,C5_32x32x32
C5,C5_2,ubench/kernels,Ascend910B,0,0,9.0.0,25.5.2,C5_48x48x48,"chain=100,m=48,n=48,k=48,streams=1,veclen=64",100,5,2,1637,0.9921212121212121,100,100,1637,cycles,C5_48x48x48
